ID,strResource,strDescription,website,SeeAlsoLink,MetaTitle,MetaDescription,Stage_list,Task_list,category_list
102,Partnerships with Industry and Government,"The University of Maryland engages in strategic partnerships with a variety of external organizations. Research and innovation generated through partnerships between academia, industry and government can help solve national and international challenges and spur economic development.",http://research.umd.edu/partnerships,,Partner with industry and government organizations to expand your research potential,"partner,industry,government,expand",1::Develop your research idea; 2::Fund your research,"102::Build a team; 203::Find a laboratory, instrument, or facility","Research Strategy, Planning and Partnerships"
9,Policy on Classified and Proprietary Work,"UMD policy on sponsored research agreements supports the dissemination of research results.  The University System of Maryland does not enter into agreements to carry out research if the grant, contract, or other award instrument restrains the freedom of the University and its faculty to disclose the existence of the grant or contract, the general nature of the inquiry to be conducted, or the identity of the sponsor.  The University reserves, for its faculty, the right to publish the results of the research without the prior approval of the sponsor.",http://www.usmh.usmd.edu/Leadership/BoardOfRegents/Bylaws/SectionIV/IV220.html,,See how UMD policy supports the dissemination of research results,"Classified,proprietary,UMCP policy,sponsored research agreements,dissemination of research,prior approval of findings,OTC,intellectual property,IP,document,publish,results",1::Develop your research idea; 5::Close out your project; 6::Communicate and disseminate results,105::Comply with research policies and practices; 503::Archive and disseminate data; 505::Protect intellectual property; 602::Protect intellectual property,"Research Policy, Safety, Compliance, and Training"
62,Procurement and Strategic Sourcing,The Department of Procurement and Strategic Sourcing can help you navigate the rules and regulations related to purchasing products or services from outside vendors.,http://www.purchase.umd.edu/sponsored_funds_guidelines.html,,Find guidelines for purchasing under sponsored funds,"purchase,procurement,subcontract,contract,vendor",3::Manage your project,304::Acquire equipment and software,Research Administration Guidance
92,Proposal Library,The proposal library maintained by the Division of Research contains successful proposals for a variety of sponsors.  UMD faculty and staff may request copies of these proposals to use in developing their proposals for sponsored research.,http://research.umd.edu/proposal-library,,Find examples of successful proposals or sections of proposals for a variety of sponsors,"proposal,example,fund,successful proposal,grant",2::Fund your research,207::Develop your proposal,Proposal Writing
59,Proposal Writing Resources,Need help writing your grant proposal?  Templates and resources are provided for writing sections of your proposal.,http://research.umd.edu/proposalwritingresources,,Find resources for writing a successful grant proposal,"proposal,fund,grant writing,template,boilerplate",2::Fund your research,207::Develop your proposal,Proposal Writing
54,Proposal Writing Workshops,The UMD Division of Research holds regular workshops to provide researchers with proposal writing resources on a variety of different topics.,http://research.umd.edu/workshops,,Find a variety of proposal writing resources from UMD Division of Research workshops for researchers,"proposal,grant,fund,workshop",2::Fund your research,207::Develop your proposal,Proposal Writing
78,Qualtrics,"Need to conduct a survey for your research project? Develop your surveys online and distribute them by email or web link.  Surveys can be anonymous or linked to an individual or tracking number.  You must have UMD credentials to create and distribute, but surveys can be completed by anyone with internet access.",http://umdsurvey.umd.edu,http://it.umd.edu/Qualtrics,Create and collect web-based surveys,"online survey,web-based survey,survey,collect data,questionnaire,collect data",4::Perform your research,"402::Acquire, collect or generate data",Technology Services
58,Quick Reference Guide,"ORA’s Quick Reference Guide provides quick and easy to find information on preparing to apply for funding, developing your proposal, acquiring approvals, routing, and formal submission.  The QRG can be downloaded in Word or PDF for easy access.",http://ora.umd.edu/proposal-development/quick-reference-guide,,Follow procedures for formal submission of your proposal,"apply for funding,proposal,acquire approvals,routing,formal submission,information for completing forms,application information,business information",2::Fund your research,208::Submit your proposal,Proposal Writing
77,Research Commons,"Welcome to the Research Commons, the UMD Libraries' virtual gateway to library services for faculty, graduate students, and researchers. The RC will connect you with the resources you need, such as a workshop on ""How to Write a Literature Review,"" an in-depth consultation with your subject specialist librarian, or help navigating through statistical roadblocks.",http://www.lib.umd.edu/rc,,Visit the website to get connected with the Library resources you need.,"consultation,library services,librarian,research,resources,literature review,manuscript,publication",1::Develop your research idea; 6::Communicate and disseminate results,101::Develop and evaluate a research idea; 601::Develop manuscript for publication,Library Resources
12,Research Data Services,"Our professionals provide expert guidance, project consultation, and technical assistance on various aspects of data curation, especially creating and disseminating open data, code, and other research products. You can consult us about data governance issues, documentation and metadata, data sharing and publishing, long-term archiving, and related topics. In some cases, we can perform pre-dissemination cleaning, transformation, and integration. In addition, we can help with data management or data sharing plans for funding agencies and journals.",http://www.lib.umd.edu/data,,Get help creating and disseminating open data - from planning to execution,"data management, data plan, data sharing, data publishing, code documentation, data storage, distribute research, data archiving, open data, publish, data management plan, data preservation",1::Develop your research idea; 2::Fund your research; 3::Manage your project; 4::Perform your research; 5::Close out your project; 6::Communicate and disseminate results,104::Plan for data collection and management; 204::Plan for data management and IT infrastructure; 305::Get data management assistance; 403::Manage your data; 503::Archive and disseminate data; 606::Archive and disseminate data,Technology Services
93,Research Development Services,The Research Development Office provides a variety of services to support UMD’s research enterprise.,http://research.umd.edu/development/services,,Learn more about services offered by the Research Development Office,"research development,research,proposal",2::Fund your research,207::Develop your proposal,Proposal Writing
35,Resources for Remote Conference Attendance,"Do you want to go to a professional conference this year, but can't make it in person? This page outlines strategies to participate virtually without traveling.",http://www.lib.umd.edu/rc/resources-for-remote-conference-attendance,,Participate virtually in a conference,"remote,conference,team",1::Develop your research idea,102::Build a team,Technology Services
51,Responsible Conduct of Research (RCR),"RCR training is required for all undergraduate students, graduate students, postdoctoral researchers, and staff participating in and supported by funds from the National Science Foundation (NSF) or from the National Institute of Food and Agriculture (NIFA).",http://www.umresearch.umd.edu/RCR/,,Learn about required RCR training,"training,compliance,NSF,NIFA,USDA,RCR,Responsible Conduct of Research",1::Develop your research idea; 3::Manage your project; 4::Perform your research,105::Comply with research policies and practices; 310::Comply with research policies and practices; 409::Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training"
32,Roles and Responsibilities,"Submitting proposals, conducting research, and administrating sponsored projects involves many different people and units throughout the University of Maryland campus. While there may be some minor variations in processes from department to department and college to college, this page outlines the general process and identifies the appropriate party that has primary responsibility for different activities throughout the life cycle of a sponsored award.",http://ora.umd.edu/about/roles,,Identify and communicate with stakeholders,"proposal,award,perform research,manage project,administer award,responsibilities, audit, reports, close-out, financial, invoice",1::Develop your research idea; 2::Fund your research; 3::Manage your project; 5::Close out your project,101::Develop and evaluate a research idea; 207::Develop your proposal; 301::Manage an award; 502::Close subawards,"Research Strategy, Planning and Partnerships"
5,Seed Grant Programs,"Seed Grant Programs support research and collaboration between the University of Maryland and the co-sponsoring institution.  These programs include partnerships with the Smithsonian Institution, the University of Maryland Baltimore, the Future of Information Alliance, the National Cancer Institute, Leidos, and the University of Maryland Institute for Bioscience and Biotechnology Research.  Seed grants encourage new teams of investigators to cross institutional and disciplinary boundaries, to enhance established collaborative teams to move to the next level in their research, to establish specific high impact research foci and/or generate preliminary data to support new areas of endeavor and to encourage research that leads to new funding opportunities.  Guidelines and forms for Seed Grant Programs can be found on VPR's website.",http://research.umd.edu/seed-grant-programs,,Learn more about research and innovation Seed Grant Programs,"seed grant,funding,grant,fund,university partnerships,smithsonian institution,UMB,Future of Information Alliance,National Cancer Institute Partnership,Institute for Bioscience and Biotechnology Research,Leidos",2::Fund your research,201::Find Funding Opportunities,Funding Opportunities
2,SPIN Plus,"Search for funding opportunities that fit your project.  Search by keyword and register to receive alerts as new funding becomes available.  SPINPlus is the funding search database available to UMD faculty, staff and students.  Click on the ""See Also"" link below for the SPIN Instruction Manual on how to create an account, set up standard filters, and maximize searches.",https://spin.infoedglobal.com/Authorize/Login,http://ora.umd.edu/proposal-development/locating-funding,Search for funding opportunities by keyword,"funding search,research funding,fund,sponsors,request for proposals,funding opportunities",2::Fund your research,201::Find Funding Opportunities,Funding Opportunities
8,Sponsored Research Handbook,"The Sponsored Research Handbook contains most of the policies and procedures that relate to sponsored research, service, and training at the University of Maryland, College Park. It covers the development of proposals, review of proposals, submission of proposals soliciting external support, and the establishment and administration of sponsored project accounts.",http://www.ora.umd.edu/proposal-development/sponsored-research-handbook,,Find an overview of policies and procedures that relate to sponsored research at UMD,"sponsored research,policies,procedures,proposal,manage,award,grant,contract",2::Fund your research; 3::Manage your project,207::Develop your proposal; 301::Manage an award,Research Administration Guidance
25,Statistical Consulting,"Research is increasingly data-driven, and we are available to answer your statistics and analysis questions through email or an in-person consultation.  Statistical consulting is free to all members of the UMD research community (undergraduate and graduate students, faculty, staff), in all departments and disciplines.",http://www.lib.umd.edu/rc/statistical-consulting,,Get help with statistics and data analysis questions,"statistics,data analysis,survey design,survey sampling method,questionnaire design,data sources,merging data,importing data,statistical methodology,data manipulation,interpretation of results",1::Develop your research idea; 4::Perform your research; 5::Close out your project; 6::Communicate and disseminate results,"104::Plan for data collection and management; 402::Acquire, collect or generate data; 404::Explore and analyze data; 601::Develop manuscript for publication",Technology Services
40,Storage and Backup For-Fee Services,"Find out more about IT's Networked-Storage, SAN Storage, Data Protection, and Data Archive Services.",http://it.umd.edu/esb/ForFeeServices.html,,"Store, protect and archive your research data","data storage,data protection,archive,data,backup,network drive",2::Fund your research; 3::Manage your project; 4::Perform your research; 5::Close out your project,204::Plan for data management and IT infrastructure; 304::Acquire equipment and software; 403::Manage your data; 503::Archive and disseminate data,Technology Services
41,Storage Architecture,Need to include infrastructure information about UMD storage architecture in your research proposal?  Find out more about the resources available to University researchers.,http://it.umd.edu/sites/it.umd.edu/files/units/ETI/ESB/SAN_topology.pdf,,Include storage and backup architecture in your research proposal,"storage,backup,proposal",1::Develop your research idea,104::Plan for data collection and management,Technology Services
55,Strategic External Partnerships,"The University of Maryland engages in strategic partnerships with a variety of external organizations. Research and innovation generated through partnerships between academia, industry and government can help solve national and international challenges and spur economic development.",http://research.umd.edu/partnerships,,Conduct your research with one of the university's existing partners,"partner,laboratory,instrument,facility,industry,government",1::Develop your research idea; 2::Fund your research; 4::Perform your research,"102::Build a team; 103::Find a laboratory, instrument, or facility; 203::Find a laboratory, instrument, or facility; 401::Find a laboratory or instrument","Research Strategy, Planning and Partnerships"
107,Subaward Closeout,"Subawards must be officially closed at the end of the contract or award.  At closeout, the PI officially attests that the terms and conditions have been met, all deliverables have been received and are acceptable, final invoices have been processed, and no further action is required.",http://www.ora.umd.edu/forms/umd#subclose,http://www.ora.umd.edu/resources/subawards,Download the form for subaward closeout,"subaward,closeout",5::Close out your project,502::Close subawards,Research Administration Guidance
1,Subject Specialist Librarians,"Subject Specialist Librarians can help by providing one-on-one research assistance, purchasing materials (including data) in your discipline, answering questions about publishing and copyright issues, and identifying gaps in the literature when you're planning a research project, and navigating library resources. Visit the Meet Your Librarian page to find out more about your librarian and request an appointment.",http://www.lib.umd.edu/rc/meet-your-librarian,,Meet your Librarian to take advantage of all that UMD Libraries have to offer.,"research assistance,purchasing subject area materials,library instruction sessions,library facilities and services,project rationale,develop manuscript,literature review",1::Develop your research idea; 4::Perform your research; 5::Close out your project; 6::Communicate and disseminate results,"101::Develop and evaluate a research idea; 104::Plan for data collection and management; 402::Acquire, collect or generate data; 503::Archive and disseminate data; 601::Develop manuscript for publication",Library Resources
116,Template: Consultant Letter,A template is provided that outlines the information required in a consultant letter.  The consultant letter can be used by University researchers who plan to consult on external projects without the use of University facilities or equipment.,http://research.umd.edu/proposalwritingresources,,Find example language for writing a consultant letter,"template,boilerplate,proposal,consultant,letter",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
111,Template: Multiple PI or PD Leadership Plan,An template is provided that outlines the information required for a NIH multi-Principle Investigator or Project Director Leadership plan.,http://research.umd.edu/proposalwritingresources,,Find an example of a NIH multi-PI or PD leadership plan,"template,boilerplate,proposal,multiple PI,multiple PD,leadership plan,NIH,principle investigator,project director",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
115,Template: NIH Cover Letter,A template is provided that outlines the information required in an NIH cover letter. The information included in the letter can help in referring your application to a particular review group and give NIH other information that will help conduct the review.,http://research.umd.edu/proposalwritingresources,,Find example of language for writing an NIH cover Letter,"template,boilerplate,proposal,NIH,cover letter,application review",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
114,Template: Post-Doc Mentoring Plan,A template is provided that outlines the information that can be included in a post-doctoral mentoring plan.,http://research.umd.edu/proposalwritingresources,,Find an example of a post-doctoral mentoring plan,"template,boilerplate,proposal,post-doctoral,mentoring plan",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
113,Template: Support Letter,"A template is provided that outlines the information required in a support letter.  The support letter is written from a consultant or collaborator to the PI and is designed to: a) specify what the writer will contribute to the research, b) convince the reviewer that the writer will fulfill the request, c) convey enthusiasm for the work, d) lend credibility to your proposal.",http://research.umd.edu/proposalwritingresources,,Find an example of a support letter,"template,boilerplate,proposal,support,letter,consultant,collaborator",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
70,Template: UMD Computing Capabilities and IT Resources,Need to include infrastructure information about UMD high performance computing clusters in your research proposal?  Boilerplate language is provided to help researchers describe computing capabilities and IT resources available at UMD.,http://it.umd.edu/research,,Find example language about UMD computing capabilities and IT resources,"high performance computing,proposal,Deepthought,Deepthought2,Maryland Advanced Research Computing Center,MARCC,Bluecrab,template,boilerplate,computing,IT resources",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
110,Template: UMD General Information,Boilerplate language is provided to help researchers with a general description of UMD.,http://research.umd.edu/proposalwritingresources,,Find example language about the University of Maryland,"University of Maryland,UMD,description,template,boilerplate,proposal",2::Fund your research,207::Develop your proposal,Templates and Boilerplate Language
63,Terpware,"Access University licensed and discounted software packages such as Microsoft Office, Adobe Creative Suite, Matlab, Oracle, Visual Studio, SharePoint and more!",https://terpware.umd.edu/,,Access University licensed and discounted software,"software,free software,discounted software,data,database,analysis",1::Develop your research idea; 2::Fund your research; 3::Manage your project,104::Plan for data collection and management; 204::Plan for data management and IT infrastructure; 304::Acquire equipment and software,Technology Services
74,Terrapin Technology Store,"Interested in buying a new computer or software package at a discounted price here on campus? How about a new iPad or iPod? Well, you’re in luck. The Terrapin Technology Store is open, and is operated by the Division of Information Technology as a service to University of Maryland students, faculty, and staff.",http://it.umd.edu/techstore/index.html,,Purchase computers or software at discounted prices,"computer,equipment,sofware,iPad,iPod,technology,purchase,discounted software,",2::Fund your research; 3::Manage your project,204::Plan for data management and IT infrastructure; 304::Acquire equipment and software,Technology Services
88,Thesis & Dissertation Filing,"When your thesis or dissertation is complete, the Office of the Registrar delivers it to the university's Digital Repository at the University of Maryland (DRUM) for online publication. DRUM is an open-access archive that is accessible by everyone. The Office of the Registrar also supplies it to Proquest, who logs, indexes, and publishes them on Digital Dissertations, a nationwide clearinghouse of theses and dissertations, to which the vast majority of US theses and dissertations are submitted.",https://www.gradschool.umd.edu/students/academic-progress/thesis-and-dissertation-filing,,Archive your thesis or dissertation,"thesis,dissertation,graduate",5::Close out your project; 6::Communicate and disseminate results,503::Archive and disseminate data; 606::Archive and disseminate data,Technology Services
67,UMD Box Service,"Box is a cloud-based storage and collaboration system that provides a Web interface for uploading, downloading, sharing, and discussing files. Box is designed to work on Macs, PCs, smartphones, and tablets, so it gives you access to your files from just about anywhere.  Click on the See Also link below to find out more about using your UMD Box account.",https://www.box.com/,http://it.umd.edu/box,Use cloud-based file storage for your project,"cloud,storage,file,collaborate,share",3::Manage your project; 4::Perform your research,308::Collaborate with remote colleagues; 406::Collaborate with remote colleagues,Technology Services
30,UMD Strategic Plan,"The strategic plan sets forth a vision of the University as an institution unmatched in its capacity to attract talent, address the most important issues of our time, and produce the leaders of tomorrow. An important aspect of this is the development and advancement of research and innovation.",http://www.provost.umd.edu/sp15/index.cfm,,Learn about University research priorities,"strategic plan,research priorities,feasibility,vision",1::Develop your research idea,101::Develop and evaluate a research idea,"Research Strategy, Planning and Partnerships"
49,University Policies and Guidance for Research,"Researchers should be familiar with several key University Policies, including: Policy on Intellectual Property and Classified and Proprietary Work, Policy on Conflict of Interest, Export Control, roles and responsibilities, financial transactions and reporting, responsible contracting.",http://ora.umd.edu/resources/faculty-guide/policies,http://ora.umd.edu/resources/um-policies,Make sure your project is in compliance with key University policies,"compliance,policy,research guidance,intellectual property,classified,proprietary,conflict of interest,export,roles,financial,reporting,contracting",1::Develop your research idea; 3::Manage your project; 4::Perform your research,105::Comply with research policies and practices; 310::Comply with research policies and practices; 409::Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training"
104,University Travel Policy,"The University of Maryland's travel policies are intended to facilitate travel and travel arrangements; to provide reimbursement for necessary expenses; and to protect travelers against the risk of loss while simultaneously maintaining the necessary controls for accountability.  All travel is to be documented. Pre-approval is required for University of Maryland employee and sponsored visitor out-of-state and international travel. Pre-approval is required for University of Maryland travel which includes an overnight stay, regardless of whether the destination is in-state.",http://www.dbs.umd.edu/travel/policy/umtravel/trav_guide.php,,Follow appropriate travel policies when making arrangements and requesting reimbursement,"travel,reimbursement,arrangements,international,expenses",3::Manage your project,302::Manage your budget,Research Administration Guidance
80,Visualization Lectures,"Using graphics, images, maps, diagrams or animations is an effective way to communicate your research data and tell a story about your findings.  The Campus Visualization Partnership (CVP) hosts visualization lectures to help researchers develop eye catching and accurate graphics.",http://viz.umd.edu,,Develop eye catching graphics to display your data,"graphic,image,diagram,animation,maps,geo-spatial,findings,analyze data",4::Perform your research; 6::Communicate and disseminate results,404::Explore and analyze data; 601::Develop manuscript for publication,Technology Services
